Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,26,1.0908,0.5758,BS,UMP-45_Wild_Child,Port,2024-04-17 00:13:13,Revolution
2,11,1.21,0.4628028,BS,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
3,9,1.21,0.4909328,BS,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
4,10,1.21,0.6907348,BS,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
5,77,1.2385,0.79778,BS,UMP-45_Wild_Child,Money,2024-04-17 00:20:23,Revolution
6,78,1.2385,0.87198,BS,UMP-45_Wild_Child,Money,2024-04-17 00:20:23,Revolution
7,48,1.2741,0.4536511301994299,BS,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:53,Revolution
8,50,1.2741,0.56814938783646,BS,UMP-45_Wild_Child,Monkey,2024-04-17 00:18:53,Revolution
9,44,1.2741,0.57044476270676,BS,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:53,Revolution
10,49,1.2741,0.60483431816101,BS,UMP-45_Wild_Child,Monkey,2024-04-17 00:18:53,Revolution
11,47,1.2741,0.7157505750656099,BS,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:53,Revolution
12,53,1.2741,0.7646796703338601,BS,UMP-45_Wild_Child,Monkey,2024-04-17 00:18:53,Revolution
13,79,1.2846,0.70038,BS,P2000_Wicked_Sick,Money,2024-04-17 00:20:23,Revolution
14,70,1.29,0.6246758,BS,P2000_Wicked_Sick,Bit,2024-04-17 00:16:10,Revolution
15,13,1.3068,0.6038,BS,UMP-45_Wild_Child,Port,2024-04-17 00:13:13,Revolution
16,11,1.3716,0.4178,WW,UMP-45_Wild_Child,Port,2024-04-17 00:13:13,Revolution
17,94,1.3824,0.5578,BS,UMP-45_Wild_Child,Port,2024-04-17 00:14:27,Revolution
18,1,1.44,0.5117528,BS,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
19,71,1.45,0.5475278,BS,P2000_Wicked_Sick,Bit,2024-04-17 00:16:10,Revolution
20,86,1.4538,0.55068,BS,P2000_Wicked_Sick,Money,2024-04-17 00:20:23,Revolution
21,43,1.48,0.4053268,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:17:16,Revolution
22,44,1.5,0.4314188,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:17:16,Revolution
23,60,1.54,0.3964978,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
24,56,1.54,0.4015568,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
25,58,1.54,0.4056388,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
26,59,1.54,0.4114678,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
27,57,1.54,0.4134948,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
28,61,1.54,0.4237948,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
29,63,1.54,0.4394388,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
30,76,1.5444,0.3988,WW,UMP-45_Wild_Child,Port,2024-04-17 00:14:01,Revolution
31,62,1.55,0.4175018,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
32,93,1.6308,0.42028,WW,UMP-45_Wild_Child,Money,2024-04-17 00:20:23,Revolution
33,11,1.7,0.3958498,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:14:50,Revolution
34,76,1.7,0.4040748,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:16:10,Revolution
35,45,1.7,0.4131038,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:17:16,Revolution
36,94,1.7385,0.40158,WW,P2000_Wicked_Sick,Money,2024-04-17 00:20:23,Revolution
37,54,1.7407,0.40860766172409,WW,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:53,Revolution
38,60,1.7481,0.39292973279953,WW,UMP-45_Wild_Child,Monkey,2024-04-17 00:18:53,Revolution
39,61,1.7481,0.4006932675838499,WW,UMP-45_Wild_Child,Monkey,2024-04-17 00:18:53,Revolution
40,101,1.7496,0.4038,WW,UMP-45_Wild_Child,Port,2024-04-17 00:14:27,Revolution
41,21,1.76,0.3902788,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:14:50,Revolution
42,28,1.76,0.4028438,WW,P2000_Wicked_Sick,Bit,2024-04-17 00:14:50,Revolution
43,39,1.77,0.3947088,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:16:50,Revolution
44,40,1.77,0.3959528,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:16:50,Revolution
45,41,1.77,0.3984838,WW,UMP-45_Wild_Child,Bit,2024-04-17 00:16:50,Revolution
46,105,1.8252,0.3998,WW,P2000_Wicked_Sick,Port,2024-04-17 00:14:27,Revolution
47,110,1.837,0.26792475581169,BS,AWP_Duality,Monkey,2024-04-17 00:19:31,Revolution
48,112,1.837,0.31428012251854,BS,AWP_Duality,Monkey,2024-04-17 00:19:31,Revolution
49,111,1.837,0.3514946103096,BS,AWP_Duality,Monkey,2024-04-17 00:19:31,Revolution
50,50,2.09,0.3178548,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
51,67,2.1492,0.3568,FT,P2000_Wicked_Sick,Port,2024-04-17 00:14:01,Revolution
52,68,2.1924,0.3158,FT,P2000_Wicked_Sick,Port,2024-04-17 00:14:01,Revolution
53,53,2.2,0.2780348,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
54,52,2.2,0.2887228,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
55,51,2.2,0.3116878,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
56,6,2.2464,0.3318,FT,P2000_Wicked_Sick,Port,2024-04-17 00:13:13,Revolution
57,70,2.268,0.3118,FT,UMP-45_Wild_Child,Port,2024-04-17 00:14:01,Revolution
58,54,2.35,0.2679418,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
59,71,2.3544,0.2448,FT,P2000_Wicked_Sick,Port,2024-04-17 00:14:01,Revolution
60,20,2.3544,0.2648,FT,P2000_Wicked_Sick,Port,2024-04-17 00:13:13,Revolution
61,31,2.4,0.2009838,FT,UMP-45_Wild_Child,Bit,2024-04-17 00:16:50,Revolution
62,32,2.4,0.2451448,FT,UMP-45_Wild_Child,Bit,2024-04-17 00:16:50,Revolution
63,26,2.4,0.2545798,FT,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
64,73,2.4408,0.2638,FT,UMP-45_Wild_Child,Port,2024-04-17 00:14:01,Revolution
65,49,2.47,0.2171238,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
66,67,2.47,0.2707368,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:41,Revolution
67,61,2.48,0.2178538,FT,AWP_Duality,Bit,2024-04-17 00:12:33,Revolution
68,62,2.48,0.2264038,FT,AWP_Duality,Bit,2024-04-17 00:12:33,Revolution
69,63,2.48,0.2412378,FT,AWP_Duality,Bit,2024-04-17 00:12:33,Revolution
70,78,2.48,0.2469988,FT,AWP_Duality,Bit,2024-04-17 00:12:33,Revolution
71,124,2.5333,0.24622312188148,FT,P2000_Wicked_Sick,Monkey,2024-04-17 00:19:39,Revolution
72,118,2.5333,0.25238770246506,FT,P2000_Wicked_Sick,Monkey,2024-04-17 00:19:35,Revolution
73,61,2.7846,0.24428,FT,P2000_Wicked_Sick,Money,2024-04-17 00:20:07,Revolution
74,48,2.91,0.2169788,FT,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
75,48,3.1846,0.22638,FT,AWP_Duality,Money,2024-04-17 00:19:50,Revolution
76,47,3.1846,0.23758,FT,AWP_Duality,Money,2024-04-17 00:19:50,Revolution
77,50,3.1846,0.24328,FT,AWP_Duality,Money,2024-04-17 00:19:50,Revolution
78,21,3.33,0.1895108,FT,AWP_Duality,Bit,2024-04-17 00:11:40,Revolution
79,60,3.4385,0.23528,FT,AWP_Duality,Money,2024-04-17 00:20:07,Revolution
80,37,5.51,0.1279358,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
81,44,5.51,0.1436438,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
82,36,5.54,0.1253468,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
83,43,5.54,0.1426518,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
84,20,5.6,0.1096248,MW,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
85,35,5.6,0.1249028,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
86,33,5.66,0.1224758,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
87,40,5.66,0.1393708,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
88,41,5.66,0.1412088,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
89,20,5.9231,0.14288,MW,P2000_Wicked_Sick,Money,2024-04-17 00:19:50,Revolution
90,34,5.97,0.1238458,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
91,39,6.048,0.1308,MW,AWP_Duality,Port,2024-04-17 00:13:13,Revolution
92,74,6.048,0.1328,MW,AWP_Duality,Port,2024-04-17 00:14:01,Revolution
93,78,6.102,0.1278,MW,AWP_Duality,Port,2024-04-17 00:14:01,Revolution
94,79,6.102,0.1348,MW,AWP_Duality,Port,2024-04-17 00:14:01,Revolution
95,19,6.11,0.1199918,MW,UMP-45_Wild_Child,Bit,2024-04-17 00:16:21,Revolution
96,82,6.1776,0.1188,MW,AWP_Duality,Port,2024-04-17 00:14:01,Revolution
97,83,6.2316,0.1128,MW,AWP_Duality,Port,2024-04-17 00:14:01,Revolution
98,58,6.28,0.0912808,MW,AWP_Duality,Bit,2024-04-17 00:12:10,Revolution
99,21,6.4538,0.11158,MW,P2000_Wicked_Sick,Money,2024-04-17 00:19:50,Revolution
100,32,6.5448,0.1098,MW,P2000_Wicked_Sick,Port,2024-04-17 00:13:13,Revolution
101,31,6.57,0.0935588,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
102,42,6.6852,0.1178,MW,UMP-45_Wild_Child,Port,2024-04-17 00:13:13,Revolution
103,22,6.6923,0.10208,MW,P2000_Wicked_Sick,Money,2024-04-17 00:19:50,Revolution
104,23,6.6923,0.11848,MW,P2000_Wicked_Sick,Money,2024-04-17 00:19:50,Revolution
105,17,6.8308,0.11638,MW,UMP-45_Wild_Child,Money,2024-04-17 00:19:50,Revolution
106,32,6.99,0.0978978,MW,P2000_Wicked_Sick,Bit,2024-04-17 00:15:18,Revolution
107,14,7.1692,0.10418,MW,AWP_Duality,Money,2024-04-17 00:19:50,Revolution
108,59,7.39,0.1007588,MW,AWP_Duality,Bit,2024-04-17 00:12:10,Revolution
109,56,8.0,0.0886188,MW,AWP_Duality,Bit,2024-04-17 00:12:10,Revolution
110,52,10.5,0.0709188,MW,AWP_Duality,Bit,2024-04-17 00:12:10,Revolution
111,10,12.1932,0.0668,FN,P2000_Wicked_Sick,Port,2024-04-17 00:13:13,Revolution
112,1,12.3552,0.0508,FN,AWP_Duality,Port,2024-04-17 00:13:13,Revolution
113,16,12.528,0.0608,FN,AWP_Duality,Port,2024-04-17 00:13:13,Revolution
114,31,12.5481,0.05064072459936,FN,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:34,Revolution
115,33,12.5481,0.06092472746968,FN,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:34,Revolution
116,40,12.5481,0.06622440367937,FN,P2000_Wicked_Sick,Monkey,2024-04-17 00:18:34,Revolution
